Scientist,University,Degree,isPostGrad
6abe009a-da7a-445e-9162-a50cde606a82,Università degli Studi di Padova,master's degree statistical sciences 110 cum laude,TRUE
a9e39ab6-7055-427e-9440-a0094218534b,筑波大学,doctor of philosophy - phd empowerment informatics,TRUE
a9e39ab6-7055-427e-9440-a0094218534b,筑波大学,master of engineering human-machine interaction,TRUE
c639ef4d-4330-4fd2-9082-d87ba41ac9e4,Columbia University in the City of New York,master of science (m.s.) data science,TRUE
855858be-d18c-4059-8702-426fbb75774e,University of Leeds,doctor of philosophy - phd astronomy and astrophysics,TRUE
ed6ace76-2ec8-4e76-8de7-e5738977ed8f,"University of California, Santa Barbara",doctor of philosophy (ph.d.) materials science and engineering,TRUE
ed6ace76-2ec8-4e76-8de7-e5738977ed8f,"University of California, Berkeley",master of science (m.s.) materials science and engineering,TRUE
0e402621-56c0-4e1b-95a6-fd350d0c1ef7,Columbia University in the City of New York,master's degree statistics,TRUE
d475a45d-9c7b-48e3-86a5-d13514d7379b,The University of Dundee,master’s degree data science 1st class with merit,TRUE
027466b4-5d5a-48fb-bf90-e1b72842054c,Aalto University School of Business,"master’s degree m.sc., major: finance, minor: accounting",TRUE
7f2d5207-1a44-4074-bf81-5517e297aebe,Telecom ParisTech,phd (doctorat) communications & electronics,TRUE
7f2d5207-1a44-4074-bf81-5517e297aebe,Institut national polytechnique de Grenoble,msc (dea) signal processing,TRUE
33384fb5-0eb3-4331-9782-b0f01b4d0f68,University of San Francisco,master of science (m.s.) data science 3.8/4.0,TRUE
15e1b0f8-6b7f-4325-a7ed-5763530b5ef6,University of Sydney,master's degree international business and commerce n/a,TRUE
53f5cd4d-a0ba-4e43-a2b4-c3a59c6afff6,Western Sydney University,doctor of philosophy (ph.d.) experimental psychology,TRUE
53f5cd4d-a0ba-4e43-a2b4-c3a59c6afff6,Yerevan State University,master of science (ms) applied mathematics,TRUE
5e457637-7fb0-4dc0-862e-2fbaba38fae2,The Ohio State University,"master of engineering (meng) logistics, materials, and supply chain management",TRUE
801b1740-b235-4d6a-9a2e-f83634f6ce25,Deakin University,master's degree business analytics high distinction(hd),TRUE
c48bcd22-a421-4e40-ba42-ed6f420d483f,San Diego State University-California State University,master of science (m.s.) astronomy,TRUE
652799a0-94f7-4049-83a8-1999195ab839,Ukrainian Catholic University,master's degree data science,TRUE
fde23603-ea35-4f55-9c93-aa0a721e03db,Uppsala University,"master's degree financial mathematics excellent, vg/vg, 5/5",TRUE
e1697854-8f3c-4a58-a709-4f7f49aba73a,Gannon University,master's degree computer science,TRUE
18bd2eca-34f1-4598-b463-4e3fd685b08b,"Birkbeck School of Business, Economics and Informatics",msc data science,TRUE
18bd2eca-34f1-4598-b463-4e3fd685b08b,Università di Pisa,msc building engineering and architecture,TRUE
b3740bdf-5fb2-44d8-a424-a6845684065a,"University of California, Los Angeles",master of science (ms) statistics 3.98/4.00,TRUE
3f556d89-9d68-43a0-917a-db1f4e1b0cbe,University of St Andrews,mmath statistics first class,TRUE
13f41870-0baa-45d4-ba9f-53b01e248fdb,Tsinghua University,phd computer application,TRUE
dd630370-cb35-4e40-aa16-cbdde5af973f,Ecole centrale de Nantes,engineer's degree (equivalent to master's degree) data science,TRUE
15308e30-9f70-44a2-b0e7-a7c25f8805ae,University of Florida,phd high energy particle physics (experiment),TRUE
0f0f7367-9635-4be3-8651-481b86800c52,Monash University,master's degree data science,TRUE
82dff263-6cae-4318-a8e6-03c2f533cbbb,Northwestern University,master of science (ms) analytics,TRUE
4088c235-2e68-4d64-b574-52a2f619f72e,Indiana University Bloomington,master of science - ms data science 3.96,TRUE
e002de7a-1b08-4ce0-8bc2-e849b79d25f9,Northwestern University,master of science analytics 4.00/4.00,TRUE
1562c56e-b28c-4fc6-b823-57f891521695,Columbia University in the City of New York,master of science - ms data science,TRUE
82ec8952-9aba-41b6-b280-cb66341db123,Stony Brook University,doctor of philosophy - phd statistics,TRUE
7d9023d6-0fcd-47da-a4a1-382ed0874b45,University of Bristol,doctor of philosophy - phd clinical veterinary science,TRUE
